가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크
엘비스텍,0.305,0.18,0.139,0.046,0.106,0.079,0.033,0.112,0,https://m.place.naver.com/restaurant/20383925/review/visitor
르빵드파리 & 브런치하우스,0.125,0.201,0.166,0.106,0,0,0,0.402,0,https://m.place.naver.com/restaurant/1174117237/review/visitor
쟈드니에,0.294,0.182,0.135,0.041,0.152,0.037,0.061,0.098,0,https://m.place.naver.com/restaurant/1444475584/review/visitor
랫댓 연남,0.394,0.107,0.166,0.054,0.049,0.04,0.071,0.118,0,https://m.place.naver.com/restaurant/1849652804/review/visitor
여덟,0.286,0.176,0.131,0.059,0.118,0.056,0.06,0.093,0.021,https://m.place.naver.com/restaurant/1481174484/review/visitor
반미프엉,0.39,0.067,0.151,0,0.108,0.049,0.052,0.145,0.038,https://m.place.naver.com/restaurant/1436667360/review/visitor
카멜리아 연남,0.251,0.154,0.087,0.135,0.093,0,0.034,0.246,0,https://m.place.naver.com/restaurant/1921732964/review/visitor
알척,0.31,0.202,0.12,0.073,0.098,0.027,0.024,0.146,0,https://m.place.naver.com/restaurant/1173198438/review/visitor
브로콜리,0.203,0.141,0.095,0.082,0.203,0.078,0.023,0.046,0.131,https://m.place.naver.com/restaurant/1355915587/review/visitor
디트로이트 피지스,0.292,0.188,0.086,0.1,0.092,0.074,0,0.168,0,https://m.place.naver.com/restaurant/1342595020/review/visitor
썸모어델리,0.342,0.153,0.155,0.089,0.134,0,0,0.108,0.018,https://m.place.naver.com/restaurant/1669511347/review/visitor
판초,0.21,0.222,0.086,0.123,0.136,0,0,0.222,0,https://m.place.naver.com/restaurant/1530993164/review/visitor
니꾸킹버거,0.257,0.173,0.135,0.12,0.1,0.034,0.048,0.08,0.053,https://m.place.naver.com/restaurant/1732651729/review/visitor
문,0.342,0.171,0.177,0.068,0.085,0.045,0.037,0.074,0,https://m.place.naver.com/restaurant/37388765/review/visitor
타케리아마차,0.25,0.19,0.19,0.11,0.1,0.04,0,0.09,0.03,https://m.place.naver.com/restaurant/1497061118/review/visitor
다옴383,0.317,0.193,0.107,0.078,0.091,0.06,0.038,0.116,0,https://m.place.naver.com/restaurant/1760281675/review/visitor
연남동질리,0.366,0.107,0.045,0.031,0.098,0.178,0.088,0.052,0.035,https://m.place.naver.com/restaurant/1733564552/review/visitor
에트나퓨,0.291,0.199,0.141,0.077,0.113,0.082,0.021,0.077,0,https://m.place.naver.com/restaurant/1922159413/review/visitor
비스트로가마,0.318,0.207,0.157,0.067,0.107,0.037,0,0.107,0,https://m.place.naver.com/restaurant/1653955236/review/visitor
메종브리크,0.291,0.187,0.171,0.098,0.096,0.058,0,0.099,0,https://m.place.naver.com/restaurant/1655732599/review/visitor
슬로우,0.249,0.201,0.06,0.109,0.1,0,0.055,0.227,0,https://m.place.naver.com/restaurant/1563749375/review/visitor
윤성용레스토랑,0.328,0.177,0.117,0.117,0.117,0.082,0.02,0.042,0,https://m.place.naver.com/restaurant/814482112/review/visitor
루바브,0.302,0.183,0.183,0.092,0.115,0,0,0.099,0.027,https://m.place.naver.com/restaurant/1124107346/review/visitor
클래식당2nd,0.291,0.155,0.129,0.107,0.113,0.028,0.017,0.159,0,https://m.place.naver.com/restaurant/1633696121/review/visitor
레스토랑오브편,0.233,0.188,0.079,0.124,0.143,0.093,0.029,0.109,0,https://m.place.naver.com/restaurant/1512204809/review/visitor
보르도,0.261,0.185,0.104,0.085,0.102,0.036,0,0.226,0,https://m.place.naver.com/restaurant/1089182742/review/visitor
쥬벤쿠바 연남점,0.236,0.194,0.159,0.161,0.034,0.139,0.033,0.044,0,https://m.place.naver.com/restaurant/1324132180/review/visitor
업투미,0.221,0.153,0.14,0.097,0.147,0.094,0.055,0.094,0,https://m.place.naver.com/restaurant/1521280467/review/visitor
연남동 수제버거 펄시티버거,0.256,0.125,0.076,0.13,0.105,0.045,0.05,0.109,0.103,https://m.place.naver.com/restaurant/1811467331/review/visitor
탐키친,0.269,0.165,0.074,0.104,0.101,0.077,0.057,0.152,0,https://m.place.naver.com/restaurant/1652245687/review/visitor
헤도네,0.277,0.206,0.125,0.135,0.105,0.01,0.017,0.125,0,https://m.place.naver.com/restaurant/1620268506/review/visitor
밥스바비 연남점,0.339,0.147,0.083,0.045,0.061,0.105,0.035,0.102,0.083,https://m.place.naver.com/restaurant/36046893/review/visitor
봄띠,0.315,0.135,0.084,0.079,0.032,0.037,0.163,0.155,0,https://m.place.naver.com/restaurant/1612138237/review/visitor
연남동와이탑,0.251,0.231,0.145,0.142,0.053,0,0,0.179,0,https://m.place.naver.com/restaurant/1978161435/review/visitor
비스트로 오라,0.28,0.219,0.046,0.091,0.06,0.122,0,0.183,0,https://m.place.naver.com/restaurant/1275815754/review/visitor
마나올라나,0.362,0.13,0.058,0.082,0.186,0.043,0.031,0.046,0.06,https://m.place.naver.com/restaurant/1816828256/review/visitor
그동네떡볶이 연남점,0.234,0.124,0.099,0.128,0.049,0.139,0.118,0.048,0.061,https://m.place.naver.com/restaurant/1753800653/review/visitor
산동꾸냥수제만두,0.35,0.096,0.198,0.006,0.073,0.102,0.023,0.028,0.124,https://m.place.naver.com/restaurant/1180776943/review/visitor
분식,0.25,0.188,0.125,0.125,0.156,0.016,0.062,0.047,0.031,https://m.place.naver.com/restaurant/1547395711/review/visitor
홍쌤떡볶이 연남점,0.381,0.144,0.017,0.038,0.057,0.189,0.077,0.006,0.09,https://m.place.naver.com/restaurant/1644448362/review/visitor
우리할매떡볶이 연남점,0.379,0.165,0.047,0.086,0.037,0.139,0.057,0.011,0.079,https://m.place.naver.com/restaurant/1231534281/review/visitor
삼첩분식 마포점,0.415,0.093,0.135,0.021,0.093,0.119,0.114,0,0.01,https://m.place.naver.com/restaurant/1551455274/review/visitor
천국이네김밥,0.301,0.123,0.03,0.026,0.045,0.193,0.1,0,0.182,https://m.place.naver.com/restaurant/31098755/review/visitor
소풍김밥,0.328,0.139,0.018,0.042,0.079,0.176,0.075,0.002,0.141,https://m.place.naver.com/restaurant/34350404/review/visitor
김밥세상 연남점,0.323,0.178,0.011,0.016,0.054,0.165,0.095,0.005,0.153,https://m.place.naver.com/restaurant/11387630/review/visitor
부에노떡볶이 서교본점,0.455,0.091,0.03,0.03,0.03,0.242,0.091,0.03,0,https://m.place.naver.com/restaurant/38291358/review/visitor
김밥세상 연남동2호점,0.451,0.141,0,0.014,0.056,0.141,0.028,0,0.169,https://m.place.naver.com/restaurant/11864731/review/visitor
선학분식,0.346,0.168,0.056,0.028,0.075,0.131,0.065,0.019,0.112,https://m.place.naver.com/restaurant/18372421/review/visitor
홍익분식,0.255,0.133,0,0.02,0.061,0.255,0.122,0,0.153,https://m.place.naver.com/restaurant/31392640/review/visitor
신공주떡볶이,0.353,0.116,0.095,0.116,0.116,0.095,0.062,0.008,0.037,https://m.place.naver.com/restaurant/1660061899/review/visitor
키친봄날,0.294,0.127,0.133,0.038,0.197,0.073,0.099,0.007,0.031,https://m.place.naver.com/restaurant/37578215/review/visitor
또보겠지떡볶이집 신촌히어로점,0.399,0.189,0.09,0.057,0.07,0.074,0.065,0.057,0,https://m.place.naver.com/restaurant/37663300/review/visitor
연희김밥 본점,0.454,0.098,0.117,0.018,0.115,0.111,0.044,0.004,0.04,https://m.place.naver.com/restaurant/18752158/review/visitor
만냥하우스,0.318,0.1,0.094,0,0.053,0.3,0.112,0.006,0.018,https://m.place.naver.com/restaurant/1070522601/review/visitor
홍대삭 상수본점,0.407,0.115,0.102,0.006,0.071,0.152,0.079,0,0.068,https://m.place.naver.com/restaurant/11856660/review/visitor
참바른김밥,0.25,0.171,0.062,0.056,0.147,0.103,0.111,0.005,0.094,https://m.place.naver.com/restaurant/1027321167/review/visitor
유자유김치떡볶이 신촌점,0.324,0.137,0.183,0.034,0.04,0.095,0.176,0,0.013,https://m.place.naver.com/restaurant/1197641297/review/visitor
남도분식 현대백화점 신촌점,0.451,0.16,0.066,0.062,0.045,0.062,0.024,0,0.128,https://m.place.naver.com/restaurant/1274942536/review/visitor
구복,0.328,0.096,0.181,0.028,0.068,0.079,0.051,0.006,0.164,https://m.place.naver.com/restaurant/13415930/review/visitor
이가네떡볶이,0.352,0.159,0.124,0.038,0.065,0.09,0.064,0,0.108,https://m.place.naver.com/restaurant/1267420142/review/visitor
연우김밥 성산점,0.352,0.104,0.085,0.034,0.169,0.08,0.049,0,0.127,https://m.place.naver.com/restaurant/1941396436/review/visitor
소풍가는날,0.254,0.153,0.097,0.128,0.143,0,0.065,0.025,0.136,https://m.place.naver.com/restaurant/1976241690/review/visitor
보물섬김밥,0.401,0.15,0.083,0.022,0.144,0.094,0.065,0.005,0.035,https://m.place.naver.com/restaurant/35769408/review/visitor
훼드라,0.2,0.2,0.2,0,0.031,0.123,0.046,0.046,0.154,https://m.place.naver.com/restaurant/1674768623/review/visitor
싸다김밥 망원역점,0.29,0.095,0.027,0.076,0.064,0.189,0.06,0.007,0.19,https://m.place.naver.com/restaurant/1486848834/review/visitor
신흥떡볶이,0.459,0.189,0.027,0.027,0,0.081,0.054,0,0.162,https://m.place.naver.com/restaurant/36184127/review/visitor
틈새라면 신촌점,0.312,0.145,0.082,0.042,0.033,0.139,0.036,0.009,0.2,https://m.place.naver.com/restaurant/38506397/review/visitor
골드김밥,0.304,0.122,0.117,0.083,0.148,0.048,0.043,0.004,0.13,https://m.place.naver.com/restaurant/1197946103/review/visitor
우리할매떡볶이 가재울점,0.465,0.129,0.066,0.051,0.046,0.128,0.053,0,0.062,https://m.place.naver.com/restaurant/1034553261/review/visitor
왕초떡복이 본점,0.394,0.175,0.042,0.039,0.054,0.128,0.093,0,0.075,https://m.place.naver.com/restaurant/1853171151/review/visitor
김밥가미 서교,0.323,0.13,0.036,0.064,0.113,0.115,0.04,0.008,0.172,https://m.place.naver.com/restaurant/1579227591/review/visitor
나이스누들,0.231,0.115,0,0.154,0.132,0.082,0.066,0.115,0.104,https://m.place.naver.com/restaurant/1218416154/review/visitor
화담,0.332,0.207,0.216,0.1,0,0,0,0.145,0,https://m.place.naver.com/restaurant/1893109312/review/visitor
포가레 연남본점,0.283,0.12,0.122,0.033,0.1,0.123,0.169,0.05,0,https://m.place.naver.com/restaurant/1436711710/review/visitor
계담다,0.353,0.181,0.222,0.066,0,0.032,0.032,0.114,0,https://m.place.naver.com/restaurant/1301760508/review/visitor
전주상회,0.341,0.183,0.14,0.101,0,0.042,0,0.193,0,https://m.place.naver.com/restaurant/1231745266/review/visitor
옥자,0.241,0.162,0.053,0.133,0.123,0.026,0.072,0.079,0.11,https://m.place.naver.com/restaurant/1113972362/review/visitor
이주방,0.4,0.192,0.113,0.174,0,0,0,0.121,0,https://m.place.naver.com/restaurant/1464435858/review/visitor
단샤리,0.263,0.209,0.173,0.145,0,0.038,0,0.172,0,https://m.place.naver.com/restaurant/1985996638/review/visitor
두루미,0.43,0.152,0.172,0.117,0,0,0,0.129,0,https://m.place.naver.com/restaurant/1243232587/review/visitor
연남고집,0.391,0.193,0.143,0.126,0,0.038,0,0.109,0,https://m.place.naver.com/restaurant/1197935095/review/visitor
미드나잇 키친 연남점,0.282,0.196,0.114,0.093,0.039,0.161,0.054,0.061,0,https://m.place.naver.com/restaurant/1860546342/review/visitor
스테이키스트,0.356,0.305,0,0.105,0.114,0,0,0.12,0,https://m.place.naver.com/restaurant/1849627686/review/visitor
우주옥,0.398,0.078,0.18,0.18,0,0,0,0.165,0,https://m.place.naver.com/restaurant/1137564202/review/visitor
당인동국수공장,0.352,0.131,0.131,0.047,0.124,0,0.074,0.097,0.044,https://m.place.naver.com/restaurant/1569635151/review/visitor
상수 냉장고,0.353,0.217,0.044,0.167,0.149,0,0.029,0.042,0,https://m.place.naver.com/restaurant/1791240561/review/visitor
옛맛서울불고기,0.323,0.082,0.045,0.049,0.086,0.156,0.236,0,0.023,https://m.place.naver.com/restaurant/21219669/review/visitor
국제양식,0.309,0.21,0.072,0.127,0.108,0.023,0,0.151,0,https://m.place.naver.com/restaurant/1674636341/review/visitor
홍일품간장게장무한리필,0.255,0.18,0.039,0.088,0.136,0.164,0.137,0,0,https://m.place.naver.com/restaurant/20713591/review/visitor
구공탄곱창 본점,0.472,0.142,0.082,0.049,0.059,0.093,0.072,0.031,0,https://m.place.naver.com/restaurant/20986095/review/visitor
오성계,0.265,0.245,0.174,0.142,0,0.045,0,0.129,0,https://m.place.naver.com/restaurant/1321779020/review/visitor
광명대창집 홍대점,0.455,0.192,0.047,0.085,0.101,0.079,0.041,0,0,https://m.place.naver.com/restaurant/1354944829/review/visitor
침사추이누들,0.334,0.138,0.1,0.035,0.083,0.085,0.108,0.013,0.104,https://m.place.naver.com/restaurant/1155830773/review/visitor
문숙이미나리식당,0.31,0.145,0,0.045,0.069,0.183,0.102,0.018,0.128,https://m.place.naver.com/restaurant/36342218/review/visitor
육회로,0.259,0.17,0.107,0.105,0.173,0.052,0.048,0.086,0,https://m.place.naver.com/restaurant/1647823532/review/visitor
쎄리네찜닭,0.357,0.15,0.098,0.119,0.063,0.035,0.122,0.056,0,https://m.place.naver.com/restaurant/1490709349/review/visitor
순이네아들 합정점,0.287,0.189,0.07,0.111,0.082,0.045,0.107,0.111,0,https://m.place.naver.com/restaurant/1144826074/review/visitor
온달집 홍대직영점,0.54,0.142,0.111,0,0.046,0.069,0.073,0.019,0,https://m.place.naver.com/restaurant/1292304113/review/visitor
슬런치 팩토리,0.281,0.098,0.227,0,0.16,0,0.039,0.16,0.034,https://m.place.naver.com/restaurant/20139601/review/visitor
대한족발보쌈 합정본점,0.527,0.135,0.042,0.059,0.076,0.076,0.038,0.046,0,https://m.place.naver.com/restaurant/1668083449/review/visitor
한주당,0.268,0.198,0.1,0.137,0.052,0.06,0.074,0.112,0,https://m.place.naver.com/restaurant/1178632529/review/visitor
다락투,0.353,0.147,0.038,0.072,0.06,0.104,0.092,0,0.134,https://m.place.naver.com/restaurant/31202900/review/visitor
홍곱창 합정점,0.374,0.165,0.099,0.11,0.03,0.049,0.088,0.085,0,https://m.place.naver.com/restaurant/1203466373/review/visitor
인생담은식당,0.364,0.087,0,0.098,0.098,0.042,0.068,0.049,0.193,https://m.place.naver.com/restaurant/37633696/review/visitor
상수김치삼겹살,0.384,0.148,0.044,0,0.129,0.192,0.089,0.015,0,https://m.place.naver.com/restaurant/1134372647/review/visitor
한석화,0.262,0.148,0.067,0.027,0.134,0.094,0.074,0.04,0.154,https://m.place.naver.com/restaurant/1017344816/review/visitor
램스일레븐,0.343,0.209,0.083,0.1,0.178,0,0.03,0.057,0,https://m.place.naver.com/restaurant/36454701/review/visitor
대포항회무침,0.333,0.115,0.034,0.046,0.253,0.195,0.023,0,0,https://m.place.naver.com/restaurant/20917462/review/visitor
본삼,0.28,0.207,0.071,0.177,0.123,0,0,0.142,0,https://m.place.naver.com/restaurant/1335660419/review/visitor
제순식당 홍대점,0.37,0.163,0.03,0.023,0.063,0.157,0.087,0,0.107,https://m.place.naver.com/restaurant/1299875051/review/visitor
서울진,0.279,0.14,0.033,0.116,0.153,0.116,0.112,0.042,0.009,https://m.place.naver.com/restaurant/1723927841/review/visitor
탐라식당,0.377,0.123,0.189,0.016,0.148,0.025,0.025,0.041,0.057,https://m.place.naver.com/restaurant/20694388/review/visitor
난,0.302,0.117,0.1,0.076,0.082,0.099,0.042,0.014,0.168,https://m.place.naver.com/restaurant/1870032982/review/visitor
알배기,0.316,0.177,0.113,0.108,0.215,0.033,0.038,0,0,https://m.place.naver.com/restaurant/1589846824/review/visitor
미로식당,0.378,0.159,0.195,0.098,0.146,0.012,0,0.012,0,https://m.place.naver.com/restaurant/37915697/review/visitor
한우 오마카세 압도,0.259,0.235,0.13,0.117,0.13,0,0.053,0.076,0,https://m.place.naver.com/restaurant/1016980230/review/visitor
화규,0.342,0.236,0.07,0.051,0.144,0,0,0.128,0.029,https://m.place.naver.com/restaurant/35637834/review/visitor
더한쭈꾸미 홍대본점,0.443,0.212,0.045,0.041,0.078,0.106,0.074,0,0,https://m.place.naver.com/restaurant/36314730/review/visitor
우마담 정석,0.262,0.202,0.133,0.099,0.118,0.023,0.046,0.118,0,https://m.place.naver.com/restaurant/1490298783/review/visitor
도적,0.473,0.248,0.053,0.044,0.111,0.031,0.04,0,0,https://m.place.naver.com/restaurant/11683257/review/visitor
정통집 홍대점,0.417,0.156,0.068,0.054,0.105,0.095,0.105,0,0,https://m.place.naver.com/restaurant/1497981923/review/visitor
탐스칼국수,0.343,0.108,0.075,0.029,0.08,0.1,0.125,0.012,0.128,https://m.place.naver.com/restaurant/31111143/review/visitor
상수 넙딱집,0.374,0.149,0.167,0.023,0.121,0.08,0.063,0.023,0,https://m.place.naver.com/restaurant/1818653919/review/visitor
월하객잔,0.226,0.148,0.159,0.111,0.117,0.086,0.064,0.089,0,https://m.place.naver.com/restaurant/1522311765/review/visitor
후계동,0.303,0.098,0.128,0.013,0.068,0.137,0.107,0.009,0.137,https://m.place.naver.com/restaurant/1893956178/review/visitor
육쌈냉면 홍대1호점,0.413,0.125,0.025,0.032,0.046,0.178,0.057,0.014,0.11,https://m.place.naver.com/restaurant/12915079/review/visitor
신가네빨간집뼈해장국,0.33,0.16,0,0.102,0.077,0.122,0.127,0,0.081,https://m.place.naver.com/restaurant/1216931278/review/visitor
버켓크랩,0.273,0.264,0.164,0.064,0.1,0.064,0.045,0.027,0,https://m.place.naver.com/restaurant/38274511/review/visitor
고기장인수 홍대본점,0.314,0.107,0.129,0.093,0,0.15,0.157,0.05,0,https://m.place.naver.com/restaurant/1623650316/review/visitor
주씨네,0.236,0.208,0,0.079,0,0.208,0.107,0.084,0.079,https://m.place.naver.com/restaurant/1338840548/review/visitor
보승회관 합정점,0.347,0.14,0.042,0.091,0.071,0.07,0.089,0,0.151,https://m.place.naver.com/restaurant/1990094374/review/visitor
스키우동 총본점,0.268,0.142,0.059,0.081,0.063,0.131,0.06,0.024,0.17,https://m.place.naver.com/restaurant/1233823212/review/visitor
오레노라멘 본점,0.344,0.136,0.108,0.073,0.061,0.054,0.111,0.012,0.102,https://m.place.naver.com/restaurant/814481697/review/visitor
츠키젠,0.324,0.121,0.111,0.098,0.124,0.025,0.037,0.055,0.104,https://m.place.naver.com/restaurant/1172910030/review/visitor
라멘트럭 상수본점,0.352,0.144,0.071,0.044,0.056,0.068,0.077,0.023,0.166,https://m.place.naver.com/restaurant/36097869/review/visitor
홍대공감,0.46,0.23,0.149,0,0,0,0,0.161,0,https://m.place.naver.com/restaurant/1654577204/review/visitor
무라,0.334,0.145,0.088,0.073,0.056,0.097,0.06,0.007,0.139,https://m.place.naver.com/restaurant/11707315/review/visitor
코테츠,0.376,0.132,0.125,0.031,0.075,0.051,0.125,0.046,0.039,https://m.place.naver.com/restaurant/55217218/review/visitor
지하102호 1호점,0.445,0.26,0.132,0.075,0,0.087,0,0,0,https://m.place.naver.com/restaurant/1178405880/review/visitor
긴기라기니,0.215,0.127,0.19,0.101,0.063,0.038,0.089,0.076,0.101,https://m.place.naver.com/restaurant/1219330561/review/visitor
육연해 by 육회먹은연어,0.261,0.185,0.122,0.051,0.19,0.081,0.063,0.046,0,https://m.place.naver.com/restaurant/37002699/review/visitor
카츠미 홍대본점,0.426,0.176,0.084,0.058,0.042,0.037,0.066,0,0.111,https://m.place.naver.com/restaurant/1156112068/review/visitor
반라이,0.251,0.177,0.103,0.112,0.078,0.065,0.04,0.024,0.149,https://m.place.naver.com/restaurant/1456435836/review/visitor
꿀벌,0.321,0.18,0.129,0.108,0,0.162,0,0.1,0,https://m.place.naver.com/restaurant/1266457163/review/visitor
겐로쿠우동 홍대본점,0.34,0.089,0.067,0.059,0.048,0.107,0.138,0,0.151,https://m.place.naver.com/restaurant/13475125/review/visitor
후라토식당 상수직영점,0.347,0.189,0.081,0.099,0.086,0.038,0.049,0.073,0.038,https://m.place.naver.com/restaurant/1442258641/review/visitor
크레이지카츠,0.353,0.169,0.104,0.049,0.11,0.032,0.093,0.018,0.072,https://m.place.naver.com/restaurant/38555759/review/visitor
별그리는바다,0.34,0.34,0.087,0.108,0,0,0,0.123,0,https://m.place.naver.com/restaurant/1162408095/review/visitor
김씨네심야식당,0.418,0.158,0.236,0.03,0,0.115,0,0.042,0,https://m.place.naver.com/restaurant/33299940/review/visitor
금복식당,0.323,0.094,0.071,0.029,0.1,0.136,0.068,0.013,0.165,https://m.place.naver.com/restaurant/1224693248/review/visitor
쿠시무라,0.342,0.145,0.211,0,0.145,0.039,0,0.053,0.066,https://m.place.naver.com/restaurant/32473194/review/visitor
아톰술집,0.433,0.25,0.15,0,0,0.033,0,0.133,0,https://m.place.naver.com/restaurant/35103144/review/visitor
코카이라멘,0.344,0.181,0.044,0.084,0.066,0.11,0.066,0.009,0.097,https://m.place.naver.com/restaurant/1331951276/review/visitor
백소정 홍대합정점,0.215,0.16,0.059,0.159,0.086,0.091,0.088,0.071,0.072,https://m.place.naver.com/restaurant/1212665407/review/visitor
하카타 호르몬,0.295,0.191,0.119,0.094,0.142,0.038,0.035,0.03,0.056,https://m.place.naver.com/restaurant/1967209597/review/visitor
소박한이야기,0.279,0.149,0.114,0.121,0.092,0.035,0.037,0,0.173,https://m.place.naver.com/restaurant/1281624074/review/visitor
홍대돈부리 본점,0.389,0.147,0.058,0.032,0.069,0.074,0.085,0.021,0.124,https://m.place.naver.com/restaurant/20050417/review/visitor
쿄식탁,0.299,0.264,0.072,0.164,0,0.082,0,0.119,0,https://m.place.naver.com/restaurant/1953847467/review/visitor
스시노칸도 홍대점,0.283,0.175,0.069,0.054,0.096,0.18,0.021,0.013,0.108,https://m.place.naver.com/restaurant/1873955788/review/visitor
토리후쿠,0.362,0.206,0.1,0.031,0.156,0.069,0.013,0.031,0.031,https://m.place.naver.com/restaurant/1472251754/review/visitor
화산라멘 멘야마쯔리 홍대점,0.381,0.109,0.1,0.034,0.061,0.046,0.093,0.01,0.164,https://m.place.naver.com/restaurant/1495399831/review/visitor
후타츠 홍대점,0.21,0.184,0.052,0.16,0.072,0.041,0.064,0.076,0.141,https://m.place.naver.com/restaurant/1189142297/review/visitor
심야식당 킨빠,0.515,0.176,0.176,0,0,0.088,0,0.044,0,https://m.place.naver.com/restaurant/1073028855/review/visitor
카츠닉,0.251,0.185,0.042,0.14,0.155,0.033,0.063,0.051,0.081,https://m.place.naver.com/restaurant/1704823665/review/visitor
고베규카츠 상수점,0.43,0.139,0.115,0.073,0.103,0.085,0,0,0.055,https://m.place.naver.com/restaurant/37275398/review/visitor
텟판타마고,0.414,0.15,0.154,0.035,0.093,0.057,0,0.066,0.031,https://m.place.naver.com/restaurant/37943802/review/visitor
홍대개미 홍대점,0.356,0.148,0.081,0.031,0.067,0.095,0.067,0,0.154,https://m.place.naver.com/restaurant/31469621/review/visitor
마코토,0.253,0.164,0.051,0.126,0.121,0.035,0.048,0.078,0.125,https://m.place.naver.com/restaurant/1201042628/review/visitor
낭만식탁,0.273,0.15,0.038,0.023,0.127,0.1,0.115,0.027,0.146,https://m.place.naver.com/restaurant/38751937/review/visitor
88양자카야,0.333,0.267,0.158,0.05,0,0,0,0.192,0,https://m.place.naver.com/restaurant/1189637018/review/visitor
여우골 홍대점,0.314,0.201,0.052,0.076,0.122,0.106,0.05,0,0.078,https://m.place.naver.com/restaurant/37257404/review/visitor
긴자료코 상수점,0.419,0.047,0.116,0.07,0,0.047,0.14,0,0.163,https://m.place.naver.com/restaurant/1429837581/review/visitor
환시앙,0.32,0.194,0.044,0.083,0.097,0.073,0.107,0.015,0.068,https://m.place.naver.com/restaurant/1181997169/review/visitor
샤오바오우육면 홍대점,0.251,0.159,0.097,0.146,0.076,0.067,0.093,0.074,0.037,https://m.place.naver.com/restaurant/1919141423/review/visitor
향미 상수점,0.351,0.151,0.136,0.038,0.083,0.109,0.079,0,0.053,https://m.place.naver.com/restaurant/1905298738/review/visitor
마라1983,0.318,0.112,0,0.082,0.127,0.158,0.082,0.036,0.085,https://m.place.naver.com/restaurant/1599378912/review/visitor
짬뽕지존 홍대점,0.393,0.11,0.039,0.093,0.081,0.056,0.143,0,0.085,https://m.place.naver.com/restaurant/1811586372/review/visitor
항방양꼬치홍대점,0.398,0.222,0.076,0.099,0.094,0.047,0.053,0,0.012,https://m.place.naver.com/restaurant/36998341/review/visitor
라와마라탕 상수점,0.217,0.21,0.036,0.145,0.152,0.072,0.007,0,0.159,https://m.place.naver.com/restaurant/1029339229/review/visitor
송린,0.281,0.185,0.065,0.135,0.174,0.056,0.051,0,0.053,https://m.place.naver.com/restaurant/1259183599/review/visitor
향차이,0.256,0.152,0.054,0.051,0.03,0.158,0.104,0,0.195,https://m.place.naver.com/restaurant/1289446008/review/visitor
명월루,0.215,0.169,0.127,0.158,0.081,0.035,0.032,0.183,0,https://m.place.naver.com/restaurant/1062735866/review/visitor
마라입구 합정메세나점,0.235,0.147,0.024,0.14,0.177,0.102,0.041,0,0.133,https://m.place.naver.com/restaurant/1619553130/review/visitor
마라영웅 홍대본점,0.27,0.136,0.045,0.096,0.147,0.11,0.102,0.048,0.045,https://m.place.naver.com/restaurant/1908072205/review/visitor
전가복,0.378,0.081,0.027,0,0.068,0.135,0.095,0.027,0.189,https://m.place.naver.com/restaurant/18790027/review/visitor
피슈마라홍탕 합정점,0.344,0.151,0.025,0.1,0.174,0.077,0.052,0,0.077,https://m.place.naver.com/restaurant/1526062253/review/visitor
홍보석,0.399,0.152,0.032,0.019,0.063,0.152,0.076,0,0.108,https://m.place.naver.com/restaurant/72140696/review/visitor
마라홀릭 마라탕 합정점,0.23,0.143,0.041,0.152,0.176,0.071,0.052,0.073,0.063,https://m.place.naver.com/restaurant/1964121026/review/visitor
백리향,0.472,0.199,0.059,0.056,0.091,0.076,0.047,0,0,https://m.place.naver.com/restaurant/1712446689/review/visitor
이가네양꼬치 합정점,0.506,0.098,0.107,0.058,0.133,0.046,0.052,0,0,https://m.place.naver.com/restaurant/1750570304/review/visitor
경성양꼬치 합정점,0.512,0.131,0.062,0.044,0.119,0.1,0.031,0,0,https://m.place.naver.com/restaurant/37414199/review/visitor
백미향,0.43,0.121,0.037,0.047,0.087,0.109,0.078,0,0.09,https://m.place.naver.com/restaurant/20836890/review/visitor
홍콩반점,0.404,0.19,0.016,0.03,0.048,0.141,0.081,0.014,0.075,https://m.place.naver.com/restaurant/759820549/review/visitor
소림마라 마포점,0.548,0.048,0.048,0,0.071,0.095,0.155,0,0.036,https://m.place.naver.com/restaurant/1199729561/review/visitor
당인가미식,0.437,0.098,0.04,0.062,0.13,0.087,0.057,0,0.089,https://m.place.naver.com/restaurant/1989746487/review/visitor
리춘시장 합정역점,0.36,0.129,0.094,0.063,0.049,0.224,0.08,0,0,https://m.place.naver.com/restaurant/1696136533/review/visitor
HEOD 합정,0.259,0.246,0.076,0.189,0.066,0.041,0,0.123,0,https://m.place.naver.com/restaurant/1536277313/review/visitor
이응이응이응이응,0.272,0.17,0.142,0.071,0.068,0,0.047,0.23,0,https://m.place.naver.com/restaurant/1601204746/review/visitor
아우룸,0.352,0.135,0.161,0.072,0.101,0.038,0.048,0.093,0,https://m.place.naver.com/restaurant/1476397400/review/visitor
괴르츠,0.378,0.175,0.074,0.083,0.087,0.05,0,0.153,0,https://m.place.naver.com/restaurant/11726132/review/visitor
콘크리트 엔젤,0.274,0.129,0.078,0.132,0.093,0.043,0.058,0.193,0,https://m.place.naver.com/restaurant/1634128388/review/visitor
얼띵앤키친,0.302,0.202,0.05,0.145,0.095,0.033,0,0.174,0,https://m.place.naver.com/restaurant/38338174/review/visitor
