가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
김씨육면,음식이 맛있어요,352,친절해요,216,특별한 메뉴가 있어요,184,혼밥하기 좋아요,152,매장이 청결해요,141,재료가 신선해요,100,양이 많아요,55,인테리어가 멋져요,54,가성비가 좋아요,52,화장실이 깨끗해요,28,https://m.place.naver.com/restaurant/1048885383/review/visitor
이양권반상,음식이 맛있어요,361,혼밥하기 좋아요,223,양이 많아요,221,친절해요,180,가성비가 좋아요,161,특별한 메뉴가 있어요,147,매장이 청결해요,94,재료가 신선해요,85,인테리어가 멋져요,32,컨셉이 독특해요,29,https://m.place.naver.com/restaurant/1752228333/review/visitor
맛깔1987,음식이 맛있어요,193,재료가 신선해요,142,친절해요,109,특별한 메뉴가 있어요,80,인테리어가 멋져요,73,가성비가 좋아요,44,양이 많아요,40,매장이 청결해요,38,단체모임 하기 좋아요,28,매장이 넓어요,26,https://m.place.naver.com/restaurant/1837920980/review/visitor
뭉텅 홍대점,고기 질이 좋아요,56,음식이 맛있어요,55,친절해요,45,매장이 청결해요,28,양이 많아요,18,단체모임 하기 좋아요,16,가성비가 좋아요,14,매장이 넓어요,13,특별한 메뉴가 있어요,10,인테리어가 멋져요,9,https://m.place.naver.com/restaurant/1000991258/review/visitor
냉장고 합정점,음식이 맛있어요,188,친절해요,103,재료가 신선해요,83,특별한 메뉴가 있어요,73,매장이 청결해요,64,인테리어가 멋져요,25,양이 많아요,25,가성비가 좋아요,14,특별한 날 가기 좋아요,13,단체모임 하기 좋아요,13,https://m.place.naver.com/restaurant/1498186485/review/visitor
하연옥 마포점,음식이 맛있어요,616,양이 많아요,268,매장이 청결해요,219,특별한 메뉴가 있어요,176,혼밥하기 좋아요,170,친절해요,156,재료가 신선해요,113,인테리어가 멋져요,67,가성비가 좋아요,41,매장이 넓어요,26,https://m.place.naver.com/restaurant/1583697789/review/visitor
와우끝집,음식이 맛있어요,80,재료가 신선해요,44,특별한 메뉴가 있어요,31,양이 많아요,18,친절해요,17,특별한 날 가기 좋아요,9,가성비가 좋아요,7,매장이 넓어요,6,매장이 청결해요,6,뷰가 좋아요,4,https://m.place.naver.com/restaurant/34079350/review/visitor
금성회관 합정본점,음식이 맛있어요,2527,친절해요,1860,매장이 청결해요,1461,재료가 신선해요,1276,인테리어가 멋져요,1256,고기 질이 좋아요,874,직접 잘 구워줘요,584,가성비가 좋아요,470,매장이 넓어요,385,특별한 메뉴가 있어요,345,https://m.place.naver.com/restaurant/1348526323/review/visitor
곰솥,음식이 맛있어요,116,매장이 청결해요,72,혼밥하기 좋아요,68,인테리어가 멋져요,65,친절해요,51,재료가 신선해요,39,가성비가 좋아요,21,양이 많아요,20,특별한 메뉴가 있어요,20,매장이 넓어요,11,https://m.place.naver.com/restaurant/1208511844/review/visitor
정화,음식이 맛있어요,164,친절해요,117,특별한 메뉴가 있어요,66,재료가 신선해요,59,단체모임 하기 좋아요,38,가성비가 좋아요,28,양이 많아요,23,매장이 청결해요,19,특별한 날 가기 좋아요,13,매장이 넓어요,11,https://m.place.naver.com/restaurant/31919239/review/visitor
바다회사랑2호점,음식이 맛있어요,758,재료가 신선해요,446,특별한 메뉴가 있어요,211,양이 많아요,158,친절해요,147,가성비가 좋아요,91,매장이 넓어요,78,단체모임 하기 좋아요,60,특별한 날 가기 좋아요,54,매장이 청결해요,54,https://m.place.naver.com/restaurant/35523842/review/visitor
배떼기곱창 홍대점,음식이 맛있어요,177,친절해요,89,양이 많아요,67,특별한 메뉴가 있어요,52,가성비가 좋아요,51,재료가 신선해요,27,매장이 청결해요,24,단체모임 하기 좋아요,18,매장이 넓어요,14,특별한 날 가기 좋아요,6,https://m.place.naver.com/restaurant/37322790/review/visitor
섬,음식이 맛있어요,138,친절해요,73,반찬이 잘 나와요,51,재료가 신선해요,50,인테리어가 멋져요,38,가성비가 좋아요,25,양이 많아요,23,혼밥하기 좋아요,22,매장이 청결해요,15,뷰가 좋아요,8,https://m.place.naver.com/restaurant/1163396664/review/visitor
꽃살집 연남점,음식이 맛있어요,181,친절해요,103,재료가 신선해요,77,매장이 청결해요,64,가성비가 좋아요,60,인테리어가 멋져요,52,특별한 날 가기 좋아요,42,특별한 메뉴가 있어요,37,고기 질이 좋아요,23,단체모임 하기 좋아요,21,https://m.place.naver.com/restaurant/1772187177/review/visitor
돈수백 홍대직영점,음식이 맛있어요,504,혼밥하기 좋아요,164,가성비가 좋아요,136,친절해요,118,매장이 넓어요,102,양이 많아요,96,재료가 신선해요,63,매장이 청결해요,44,특별한 메뉴가 있어요,30,단체모임 하기 좋아요,19,https://m.place.naver.com/restaurant/11845737/review/visitor
이차돌 홍대점,음식이 맛있어요,163,가성비가 좋아요,83,친절해요,82,양이 많아요,35,특별한 메뉴가 있어요,27,매장이 넓어요,21,재료가 신선해요,18,매장이 청결해요,17,단체모임 하기 좋아요,17,고기 질이 좋아요,13,https://m.place.naver.com/restaurant/488055128/review/visitor
대포막창,음식이 맛있어요,141,친절해요,68,재료가 신선해요,35,특별한 메뉴가 있어요,32,가성비가 좋아요,30,양이 많아요,15,매장이 청결해요,8,단체모임 하기 좋아요,8,인테리어가 멋져요,5,직접 잘 구워줘요,3,https://m.place.naver.com/restaurant/1019592431/review/visitor
남도뽀글이 홍대점,음식이 맛있어요,113,친절해요,84,재료가 신선해요,70,매장이 청결해요,55,가성비가 좋아요,54,양이 많아요,34,단체모임 하기 좋아요,20,특별한 메뉴가 있어요,17,매장이 넓어요,14,직접 잘 구워줘요,12,https://m.place.naver.com/restaurant/1536716181/review/visitor
돼지명가,음식이 맛있어요,534,친절해요,362,매장이 청결해요,240,재료가 신선해요,213,매장이 넓어요,170,특별한 메뉴가 있어요,157,인테리어가 멋져요,115,단체모임 하기 좋아요,106,고기 질이 좋아요,93,직접 잘 구워줘요,91,https://m.place.naver.com/restaurant/1441592124/review/visitor
