가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
한우 오마카세 압도,음식이 맛있어요,126,친절해요,114,특별한 날 가기 좋아요,97,재료가 신선해요,63,특별한 메뉴가 있어요,63,매장이 청결해요,57,인테리어가 멋져요,37,양이 많아요,26,고기 질이 좋아요,16,직접 잘 구워줘요,16,https://m.place.naver.com/restaurant/1016980230/review/visitor
육성숙,고기 질이 좋아요,78,음식이 맛있어요,69,친절해요,64,매장이 청결해요,48,뷰가 좋아요,30,인테리어가 멋져요,28,매장이 넓어요,27,특별한 메뉴가 있어요,17,직접 잘 구워줘요,14,단체모임 하기 좋아요,13,https://m.place.naver.com/restaurant/1832644987/review/visitor
침사추이누들,음식이 맛있어요,257,친절해요,106,양이 많아요,83,혼밥하기 좋아요,80,특별한 메뉴가 있어요,77,가성비가 좋아요,65,재료가 신선해요,64,매장이 청결해요,27,인테리어가 멋져요,10,매장이 넓어요,4,https://m.place.naver.com/restaurant/1155830773/review/visitor
한우명가,음식이 맛있어요,164,가성비가 좋아요,65,재료가 신선해요,55,친절해요,44,양이 많아요,42,단체모임 하기 좋아요,37,매장이 넓어요,22,혼밥하기 좋아요,18,특별한 메뉴가 있어요,18,고기 질이 좋아요,13,https://m.place.naver.com/restaurant/13179873/review/visitor
크레이지카츠,음식이 맛있어요,727,친절해요,349,재료가 신선해요,226,특별한 메뉴가 있어요,214,양이 많아요,191,혼밥하기 좋아요,149,매장이 청결해요,102,가성비가 좋아요,65,인테리어가 멋져요,38,특별한 날 가기 좋아요,38,https://m.place.naver.com/restaurant/38555759/review/visitor
합정고깃집,음식이 맛있어요,397,친절해요,236,가성비가 좋아요,226,재료가 신선해요,163,매장이 청결해요,75,단체모임 하기 좋아요,63,주차하기 편해요,62,특별한 메뉴가 있어요,40,양이 많아요,38,고기 질이 좋아요,34,https://m.place.naver.com/restaurant/38276889/review/visitor
합정생고기김치찌개,음식이 맛있어요,104,가성비가 좋아요,49,친절해요,32,양이 많아요,32,재료가 신선해요,22,혼밥하기 좋아요,19,단체모임 하기 좋아요,14,매장이 청결해요,13,매장이 넓어요,10,특별한 메뉴가 있어요,9,https://m.place.naver.com/restaurant/35940382/review/visitor
화규,음식이 맛있어요,107,친절해요,74,특별한 날 가기 좋아요,46,재료가 신선해요,45,인테리어가 멋져요,40,특별한 메뉴가 있어요,22,매장이 청결해요,16,혼밥하기 좋아요,9,뷰가 좋아요,9,화장실이 깨끗해요,7,https://m.place.naver.com/restaurant/35637834/review/visitor
뉴욕아파트먼트,음식이 맛있어요,737,인테리어가 멋져요,474,친절해요,400,특별한 메뉴가 있어요,340,매장이 청결해요,317,매장이 넓어요,203,재료가 신선해요,169,양이 많아요,140,주차하기 편해요,90,특별한 날 가기 좋아요,88,https://m.place.naver.com/restaurant/19594124/review/visitor
주무대,음식이 맛있어요,37,특별한 메뉴가 있어요,14,친절해요,12,대화하기 좋아요,10,매장이 청결해요,6,음악이 좋아요,4,가성비가 좋아요,4,기본 안주가 좋아요,4,오래 머무르기 좋아요,3,혼술하기 좋아요,2,https://m.place.naver.com/restaurant/258955099/review/visitor
도적,음식이 맛있어요,107,친절해요,56,재료가 신선해요,25,특별한 메뉴가 있어요,12,매장이 넓어요,10,매장이 청결해요,10,단체모임 하기 좋아요,10,양이 많아요,9,가성비가 좋아요,7,고기 질이 좋아요,5,https://m.place.naver.com/restaurant/11683257/review/visitor
코테츠,음식이 맛있어요,220,친절해요,77,양이 많아요,73,특별한 메뉴가 있어요,73,재료가 신선해요,44,가성비가 좋아요,30,인테리어가 멋져요,27,혼밥하기 좋아요,23,매장이 청결해요,18,특별한 날 가기 좋아요,10,https://m.place.naver.com/restaurant/55217218/review/visitor
대한족발보쌈 합정본점,음식이 맛있어요,125,친절해요,32,매장이 넓어요,24,재료가 신선해요,18,가성비가 좋아요,18,단체모임 하기 좋아요,16,매장이 청결해요,14,인테리어가 멋져요,11,특별한 메뉴가 있어요,10,양이 많아요,9,https://m.place.naver.com/restaurant/1668083449/review/visitor
피그바,음식이 맛있어요,154,친절해요,138,매장이 청결해요,85,인테리어가 멋져요,84,재료가 신선해요,81,가성비가 좋아요,50,화장실이 깨끗해요,29,양이 많아요,26,특별한 메뉴가 있어요,25,고기 질이 좋아요,20,https://m.place.naver.com/restaurant/1006983247/review/visitor
상수주택,음식이 맛있어요,148,술이 다양해요,80,친절해요,79,인테리어가 멋져요,70,특별한 메뉴가 있어요,53,대화하기 좋아요,47,기본 안주가 좋아요,44,매장이 청결해요,34,가성비가 좋아요,27,단체모임 하기 좋아요,21,https://m.place.naver.com/restaurant/1430943747/review/visitor
육연해 by 육회먹은연어,음식이 맛있어요,103,재료가 신선해요,75,친절해요,73,특별한 메뉴가 있어요,48,가성비가 좋아요,32,단체모임 하기 좋아요,26,양이 많아요,25,매장이 청결해요,20,인테리어가 멋져요,18,매장이 넓어요,17,https://m.place.naver.com/restaurant/37002699/review/visitor
카츠미 홍대본점,음식이 맛있어요,162,친절해요,67,혼밥하기 좋아요,42,특별한 메뉴가 있어요,32,양이 많아요,25,매장이 청결해요,22,재료가 신선해요,16,가성비가 좋아요,14,특별한 날 가기 좋아요,11,매장이 넓어요,10,https://m.place.naver.com/restaurant/1156112068/review/visitor
램스일레븐,음식이 맛있어요,79,친절해요,48,재료가 신선해요,41,매장이 청결해요,23,특별한 메뉴가 있어요,19,특별한 날 가기 좋아요,15,인테리어가 멋져요,13,양이 많아요,7,화장실이 깨끗해요,7,직접 잘 구워줘요,6,https://m.place.naver.com/restaurant/36454701/review/visitor
훈민정음 서울합정점,음식이 맛있어요,157,친절해요,84,기본 안주가 좋아요,65,인테리어가 멋져요,64,술이 다양해요,60,특별한 메뉴가 있어요,54,매장이 청결해요,44,대화하기 좋아요,44,오래 머무르기 좋아요,39,단체모임 하기 좋아요,31,https://m.place.naver.com/restaurant/1828888603/review/visitor
설램이길,음식이 맛있어요,200,친절해요,145,인테리어가 멋져요,140,재료가 신선해요,107,매장이 청결해요,107,직접 잘 구워줘요,80,고기 질이 좋아요,77,특별한 메뉴가 있어요,63,특별한 날 가기 좋아요,57,화장실이 깨끗해요,39,https://m.place.naver.com/restaurant/1254839160/review/visitor
서울진,음식이 맛있어요,60,재료가 신선해요,33,친절해요,30,가성비가 좋아요,25,매장이 청결해요,25,양이 많아요,24,인테리어가 멋져요,9,특별한 메뉴가 있어요,7,혼밥하기 좋아요,2,단체모임 하기 좋아요,1,https://m.place.naver.com/restaurant/1723927841/review/visitor
우마담 정석,음식이 맛있어요,69,친절해요,53,특별한 날 가기 좋아요,48,특별한 메뉴가 있어요,35,재료가 신선해요,31,인테리어가 멋져요,31,매장이 청결해요,26,양이 많아요,12,가성비가 좋아요,6,화장실이 깨끗해요,6,https://m.place.naver.com/restaurant/1490298783/review/visitor
몽주방,음식이 맛있어요,301,친절해요,115,특별한 메뉴가 있어요,114,인테리어가 멋져요,88,매장이 청결해요,66,화장실이 깨끗해요,56,대화하기 좋아요,55,기본 안주가 좋아요,50,술이 다양해요,37,가성비가 좋아요,35,https://m.place.naver.com/restaurant/1052840524/review/visitor
국제식당,음식이 맛있어요,172,가성비가 좋아요,116,친절해요,77,양이 많아요,51,단체모임 하기 좋아요,51,재료가 신선해요,48,매장이 넓어요,35,매장이 청결해요,25,인테리어가 멋져요,24,뷰가 좋아요,18,https://m.place.naver.com/restaurant/37405553/review/visitor
미로식당,음식이 맛있어요,31,특별한 메뉴가 있어요,16,친절해요,13,재료가 신선해요,12,특별한 날 가기 좋아요,9,매장이 청결해요,8,화장실이 깨끗해요,5,인테리어가 멋져요,1,가성비가 좋아요,1,단체모임 하기 좋아요,1,https://m.place.naver.com/restaurant/37915697/review/visitor
육회로,음식이 맛있어요,145,재료가 신선해요,97,친절해요,95,특별한 메뉴가 있어요,60,매장이 청결해요,59,인테리어가 멋져요,48,가성비가 좋아요,29,양이 많아요,27,특별한 날 가기 좋아요,22,화장실이 깨끗해요,17,https://m.place.naver.com/restaurant/1647823532/review/visitor
합정유리,음식이 맛있어요,138,술이 다양해요,101,친절해요,89,인테리어가 멋져요,82,매장이 청결해요,59,특별한 메뉴가 있어요,52,대화하기 좋아요,52,기본 안주가 좋아요,48,화장실이 깨끗해요,41,오래 머무르기 좋아요,26,https://m.place.naver.com/restaurant/1651507835/review/visitor
신주양꼬치 홍대점,음식이 맛있어요,120,친절해요,39,가성비가 좋아요,19,재료가 신선해요,16,특별한 메뉴가 있어요,14,매장이 청결해요,14,단체모임 하기 좋아요,13,매장이 넓어요,11,양이 많아요,10,인테리어가 멋져요,3,https://m.place.naver.com/restaurant/36504830/review/visitor
정화,음식이 맛있어요,164,친절해요,117,특별한 메뉴가 있어요,66,재료가 신선해요,59,단체모임 하기 좋아요,38,가성비가 좋아요,28,양이 많아요,23,매장이 청결해요,19,특별한 날 가기 좋아요,13,매장이 넓어요,11,https://m.place.naver.com/restaurant/31919239/review/visitor
한주당,음식이 맛있어요,233,친절해요,172,매장이 청결해요,119,인테리어가 멋져요,97,특별한 메뉴가 있어요,87,화장실이 깨끗해요,72,양이 많아요,64,매장이 넓어요,53,가성비가 좋아요,52,재료가 신선해요,45,https://m.place.naver.com/restaurant/1178632529/review/visitor
괜찮은생고기,음식이 맛있어요,75,가성비가 좋아요,40,친절해요,29,양이 많아요,22,혼밥하기 좋아요,14,재료가 신선해요,9,단체모임 하기 좋아요,8,특별한 메뉴가 있어요,7,매장이 넓어요,4,인테리어가 멋져요,2,https://m.place.naver.com/restaurant/38274941/review/visitor
우담가&해담가,음식이 맛있어요,217,단체모임 하기 좋아요,146,친절해요,113,매장이 넓어요,93,특별한 날 가기 좋아요,86,주차하기 편해요,83,재료가 신선해요,80,매장이 청결해요,80,특별한 메뉴가 있어요,46,양이 많아요,32,https://m.place.naver.com/restaurant/1699901907/review/visitor
철판집,음식이 맛있어요,89,친절해요,48,특별한 메뉴가 있어요,39,대화하기 좋아요,25,가성비가 좋아요,22,기본 안주가 좋아요,19,혼술하기 좋아요,13,술이 다양해요,12,인테리어가 멋져요,12,매장이 청결해요,12,https://m.place.naver.com/restaurant/37322669/review/visitor
스키우동 총본점,음식이 맛있어요,178,혼밥하기 좋아요,113,친절해요,94,가성비가 좋아요,87,매장이 청결해요,54,재료가 신선해요,42,양이 많아요,40,특별한 메뉴가 있어요,39,인테리어가 멋져요,16,매장이 넓어요,6,https://m.place.naver.com/restaurant/1233823212/review/visitor
남영동양문 합정점,고기 질이 좋아요,40,음식이 맛있어요,36,친절해요,24,단체모임 하기 좋아요,23,특별한 메뉴가 있어요,17,매장이 넓어요,16,가성비가 좋아요,15,매장이 청결해요,10,인테리어가 멋져요,6,양이 많아요,5,https://m.place.naver.com/restaurant/1494582967/review/visitor
잠두봉더나인,뷰가 좋아요,97,음식이 맛있어요,47,매장이 넓어요,25,친절해요,22,특별한 날 가기 좋아요,21,단체모임 하기 좋아요,11,가성비가 좋아요,9,고기 질이 좋아요,7,특별한 메뉴가 있어요,5,재료가 신선해요,4,https://m.place.naver.com/restaurant/38467626/review/visitor
함반,음식이 맛있어요,570,특별한 메뉴가 있어요,337,친절해요,313,재료가 신선해요,209,매장이 청결해요,193,혼밥하기 좋아요,150,인테리어가 멋져요,132,가성비가 좋아요,105,특별한 날 가기 좋아요,86,양이 많아요,84,https://m.place.naver.com/restaurant/1431631412/review/visitor
대세 박목살 합정점,음식이 맛있어요,231,친절해요,133,재료가 신선해요,90,특별한 메뉴가 있어요,77,가성비가 좋아요,61,매장이 청결해요,60,양이 많아요,50,단체모임 하기 좋아요,22,고기 질이 좋아요,20,주차하기 편해요,17,https://m.place.naver.com/restaurant/1697902012/review/visitor
행진,음식이 맛있어요,106,친절해요,46,특별한 메뉴가 있어요,41,재료가 신선해요,27,인테리어가 멋져요,14,고기 질이 좋아요,11,가성비가 좋아요,11,화장실이 깨끗해요,8,특별한 날 가기 좋아요,6,단체모임 하기 좋아요,6,https://m.place.naver.com/restaurant/1714677355/review/visitor
합정옥,음식이 맛있어요,333,친절해요,104,매장이 넓어요,102,재료가 신선해요,99,특별한 메뉴가 있어요,83,혼밥하기 좋아요,73,매장이 청결해요,57,가성비가 좋아요,33,양이 많아요,32,단체모임 하기 좋아요,32,https://m.place.naver.com/restaurant/37434385/review/visitor
팔각도 합정역점,음식이 맛있어요,247,친절해요,85,특별한 메뉴가 있어요,69,재료가 신선해요,44,매장이 청결해요,43,가성비가 좋아요,39,인테리어가 멋져요,19,단체모임 하기 좋아요,17,양이 많아요,16,매장이 넓어요,13,https://m.place.naver.com/restaurant/1358985425/review/visitor
합정고깃집,음식이 맛있어요,397,친절해요,236,가성비가 좋아요,226,재료가 신선해요,163,매장이 청결해요,75,단체모임 하기 좋아요,63,주차하기 편해요,62,특별한 메뉴가 있어요,40,양이 많아요,38,고기 질이 좋아요,34,https://m.place.naver.com/restaurant/38276889/review/visitor
옛맛서울불고기,음식이 맛있어요,570,양이 많아요,417,가성비가 좋아요,275,재료가 신선해요,152,친절해요,144,매장이 청결해요,87,특별한 메뉴가 있어요,80,혼밥하기 좋아요,40,매장이 넓어요,37,단체모임 하기 좋아요,33,https://m.place.naver.com/restaurant/21219669/review/visitor
마부자생삼겹살 합정점,음식이 맛있어요,179,친절해요,75,매장이 넓어요,43,가성비가 좋아요,41,재료가 신선해요,38,양이 많아요,29,단체모임 하기 좋아요,20,매장이 청결해요,18,직접 잘 구워줘요,13,특별한 메뉴가 있어요,12,https://m.place.naver.com/restaurant/1630572480/review/visitor
난,음식이 맛있어요,196,혼밥하기 좋아요,109,친절해요,76,특별한 메뉴가 있어요,65,가성비가 좋아요,64,재료가 신선해요,53,매장이 청결해요,49,양이 많아요,27,인테리어가 멋져요,9,매장이 넓어요,2,https://m.place.naver.com/restaurant/1870032982/review/visitor
지즐 미육회관 한우 오마카세 합정점,음식이 맛있어요,39,특별한 날 가기 좋아요,39,친절해요,36,고기 질이 좋아요,32,인테리어가 멋져요,25,가성비가 좋아요,21,직접 잘 구워줘요,21,매장이 청결해요,14,주차하기 편해요,13,특별한 메뉴가 있어요,12,https://m.place.naver.com/restaurant/1226471334/review/visitor
양화로쭈꾸미,음식이 맛있어요,125,친절해요,103,재료가 신선해요,87,매장이 청결해요,82,양이 많아요,53,가성비가 좋아요,36,단체모임 하기 좋아요,23,매장이 넓어요,22,인테리어가 멋져요,14,화장실이 깨끗해요,11,https://m.place.naver.com/restaurant/1766996125/review/visitor
명륜진사갈비 서울 합정점,음식이 맛있어요,153,가성비가 좋아요,144,양이 많아요,88,친절해요,74,매장이 넓어요,64,단체모임 하기 좋아요,50,재료가 신선해요,27,매장이 청결해요,24,고기 질이 좋아요,22,특별한 날 가기 좋아요,13,https://m.place.naver.com/restaurant/1541014043/review/visitor
금성회관 합정본점,음식이 맛있어요,2527,친절해요,1860,매장이 청결해요,1461,재료가 신선해요,1276,인테리어가 멋져요,1256,고기 질이 좋아요,874,직접 잘 구워줘요,584,가성비가 좋아요,470,매장이 넓어요,385,특별한 메뉴가 있어요,345,https://m.place.naver.com/restaurant/1348526323/review/visitor
백두한우곱창,음식이 맛있어요,81,친절해요,39,재료가 신선해요,30,매장이 청결해요,22,매장이 넓어요,13,화장실이 깨끗해요,12,양이 많아요,9,가성비가 좋아요,7,특별한 메뉴가 있어요,6,단체모임 하기 좋아요,5,https://m.place.naver.com/restaurant/1070761534/review/visitor
덕이손만두,음식이 맛있어요,209,재료가 신선해요,69,친절해요,62,양이 많아요,37,가성비가 좋아요,36,특별한 메뉴가 있어요,34,매장이 청결해요,23,단체모임 하기 좋아요,22,매장이 넓어요,15,혼밥하기 좋아요,9,https://m.place.naver.com/restaurant/33636548/review/visitor
신김치생삼겹살,음식이 맛있어요,129,친절해요,53,단체모임 하기 좋아요,23,재료가 신선해요,18,가성비가 좋아요,15,매장이 넓어요,9,양이 많아요,6,매장이 청결해요,6,고기 질이 좋아요,5,특별한 메뉴가 있어요,5,https://m.place.naver.com/restaurant/20887080/review/visitor
국제양식,음식이 맛있어요,476,친절해요,324,인테리어가 멋져요,233,특별한 날 가기 좋아요,220,매장이 청결해요,196,재료가 신선해요,166,특별한 메뉴가 있어요,111,단체모임 하기 좋아요,38,가성비가 좋아요,36,직접 잘 구워줘요,35,https://m.place.naver.com/restaurant/1674636341/review/visitor
핑크솔트 숯불구이,음식이 맛있어요,300,재료가 신선해요,148,친절해요,133,매장이 넓어요,126,매장이 청결해요,121,주차하기 편해요,119,단체모임 하기 좋아요,101,특별한 날 가기 좋아요,89,인테리어가 멋져요,88,특별한 메뉴가 있어요,40,https://m.place.naver.com/restaurant/1267556937/review/visitor
홍일품간장게장무한리필,음식이 맛있어요,773,친절해요,545,가성비가 좋아요,496,양이 많아요,416,재료가 신선해요,413,매장이 청결해요,267,매장이 넓어요,124,특별한 메뉴가 있어요,117,화장실이 깨끗해요,47,단체모임 하기 좋아요,45,https://m.place.naver.com/restaurant/20713591/review/visitor
마포즉석모밀촌,음식이 맛있어요,352,양이 많아요,214,가성비가 좋아요,142,혼밥하기 좋아요,78,재료가 신선해요,66,친절해요,45,특별한 메뉴가 있어요,34,매장이 청결해요,17,매장이 넓어요,8,주차하기 편해요,7,https://m.place.naver.com/restaurant/33085455/review/visitor
남고집 합정,음식이 맛있어요,389,친절해요,276,재료가 신선해요,232,특별한 메뉴가 있어요,175,양이 많아요,166,특별한 날 가기 좋아요,147,단체모임 하기 좋아요,112,가성비가 좋아요,98,매장이 청결해요,98,인테리어가 멋져요,80,https://m.place.naver.com/restaurant/38009729/review/visitor
마포소금구이,음식이 맛있어요,149,친절해요,32,가성비가 좋아요,31,특별한 메뉴가 있어요,23,재료가 신선해요,18,양이 많아요,13,고기 질이 좋아요,6,직접 잘 구워줘요,4,매장이 넓어요,2,특별한 날 가기 좋아요,2,https://m.place.naver.com/restaurant/18791537/review/visitor
고미태,음식이 맛있어요,90,특별한 메뉴가 있어요,80,재료가 신선해요,52,매장이 청결해요,51,혼밥하기 좋아요,45,친절해요,32,가성비가 좋아요,18,양이 많아요,11,인테리어가 멋져요,6,차분한 분위기에요,1,https://m.place.naver.com/restaurant/1559943764/review/visitor
정육도,음식이 맛있어요,232,친절해요,100,단체모임 하기 좋아요,89,재료가 신선해요,61,매장이 청결해요,53,특별한 메뉴가 있어요,50,인테리어가 멋져요,48,매장이 넓어요,44,가성비가 좋아요,40,양이 많아요,36,https://m.place.naver.com/restaurant/1680391092/review/visitor
육값하네,음식이 맛있어요,51,친절해요,27,가성비가 좋아요,13,단체모임 하기 좋아요,8,매장이 넓어요,7,재료가 신선해요,6,양이 많아요,5,특별한 메뉴가 있어요,5,화장실이 깨끗해요,5,매장이 청결해요,4,https://m.place.naver.com/restaurant/365735446/review/visitor
합정뒷고기,음식이 맛있어요,123,친절해요,56,가성비가 좋아요,51,재료가 신선해요,23,특별한 메뉴가 있어요,22,양이 많아요,14,고기 질이 좋아요,8,매장이 청결해요,8,단체모임 하기 좋아요,8,인테리어가 멋져요,3,https://m.place.naver.com/restaurant/37495195/review/visitor
돌황소곱창,음식이 맛있어요,237,친절해요,133,재료가 신선해요,88,양이 많아요,59,가성비가 좋아요,44,특별한 메뉴가 있어요,41,잡내가 적어요,40,단체모임 하기 좋아요,36,매장이 청결해요,34,매장이 넓어요,23,https://m.place.naver.com/restaurant/18772202/review/visitor
돼지굴 돈마카세,음식이 맛있어요,23,친절해요,21,특별한 메뉴가 있어요,17,특별한 날 가기 좋아요,16,가성비가 좋아요,10,인테리어가 멋져요,8,고기 질이 좋아요,6,재료가 신선해요,4,직접 잘 구워줘요,4,매장이 청결해요,3,https://m.place.naver.com/restaurant/1244383648/review/visitor
합정순대국,음식이 맛있어요,201,양이 많아요,88,가성비가 좋아요,70,혼밥하기 좋아요,65,친절해요,59,재료가 신선해요,26,특별한 메뉴가 있어요,16,매장이 청결해요,12,매장이 넓어요,5,화장실이 깨끗해요,5,https://m.place.naver.com/restaurant/18791036/review/visitor
둥둥막창구이,음식이 맛있어요,95,친절해요,34,가성비가 좋아요,31,양이 많아요,26,재료가 신선해요,18,단체모임 하기 좋아요,17,특별한 메뉴가 있어요,14,매장이 넓어요,7,매장이 청결해요,5,특별한 날 가기 좋아요,4,https://m.place.naver.com/restaurant/37263734/review/visitor
신가네빨간집뼈해장국,음식이 맛있어요,184,친절해요,89,양이 많아요,71,가성비가 좋아요,68,매장이 청결해요,57,혼밥하기 좋아요,45,재료가 신선해요,43,매장이 넓어요,28,단체모임 하기 좋아요,15,주차하기 편해요,12,https://m.place.naver.com/restaurant/1216931278/review/visitor
각시보쌈,음식이 맛있어요,1011,가성비가 좋아요,438,양이 많아요,277,재료가 신선해요,232,친절해요,219,매장이 넓어요,209,단체모임 하기 좋아요,148,특별한 메뉴가 있어요,96,매장이 청결해요,89,혼밥하기 좋아요,71,https://m.place.naver.com/restaurant/38274857/review/visitor
봄이보리밥 합정점,음식이 맛있어요,112,재료가 신선해요,81,양이 많아요,63,매장이 청결해요,57,친절해요,56,매장이 넓어요,35,가성비가 좋아요,31,특별한 메뉴가 있어요,31,주차하기 편해요,24,단체모임 하기 좋아요,22,https://m.place.naver.com/restaurant/1980675959/review/visitor
형제한우곱창 합정직영점,음식이 맛있어요,329,친절해요,192,재료가 신선해요,146,가성비가 좋아요,67,매장이 청결해요,62,양이 많아요,52,특별한 메뉴가 있어요,36,단체모임 하기 좋아요,31,화장실이 깨끗해요,27,직접 잘 구워줘요,19,https://m.place.naver.com/restaurant/1891825973/review/visitor
돼지전 합정점,음식이 맛있어요,280,고기 질이 좋아요,164,친절해요,161,직접 잘 구워줘요,145,매장이 청결해요,122,재료가 신선해요,110,반찬이 잘 나와요,66,특별한 메뉴가 있어요,48,단체모임 하기 좋아요,40,특별한 날 가기 좋아요,32,https://m.place.naver.com/restaurant/1097253141/review/visitor
양화정,음식이 맛있어요,411,친절해요,172,고기 질이 좋아요,104,매장이 넓어요,103,직접 잘 구워줘요,88,단체모임 하기 좋아요,85,재료가 신선해요,56,가성비가 좋아요,42,주차하기 편해요,38,양이 많아요,28,https://m.place.naver.com/restaurant/18364083/review/visitor
본삼,음식이 맛있어요,134,친절해요,99,매장이 청결해요,85,인테리어가 멋져요,68,재료가 신선해요,59,특별한 메뉴가 있어요,34,특별한 날 가기 좋아요,22,고기 질이 좋아요,21,직접 잘 구워줘요,16,단체모임 하기 좋아요,11,https://m.place.naver.com/restaurant/1335660419/review/visitor
돼지대학교 무한리필,가성비가 좋아요,124,음식이 맛있어요,117,친절해요,70,양이 많아요,61,단체모임 하기 좋아요,46,매장이 넓어요,29,재료가 신선해요,25,매장이 청결해요,12,특별한 메뉴가 있어요,8,인테리어가 멋져요,7,https://m.place.naver.com/restaurant/1842859846/review/visitor
원당국수 잘하는 집,음식이 맛있어요,308,가성비가 좋아요,163,양이 많아요,142,재료가 신선해요,98,친절해요,91,혼밥하기 좋아요,62,특별한 메뉴가 있어요,53,매장이 청결해요,21,매장이 넓어요,9,특별한 날 가기 좋아요,6,https://m.place.naver.com/restaurant/21037841/review/visitor
더한쭈꾸미 홍대본점,음식이 맛있어요,238,친절해요,114,가성비가 좋아요,57,재료가 신선해요,42,양이 많아요,40,특별한 메뉴가 있어요,24,매장이 넓어요,22,매장이 청결해요,22,단체모임 하기 좋아요,20,화장실이 깨끗해요,16,https://m.place.naver.com/restaurant/36314730/review/visitor
숯닭,음식이 맛있어요,60,친절해요,45,재료가 신선해요,18,매장이 넓어요,16,가성비가 좋아요,15,단체모임 하기 좋아요,15,특별한 메뉴가 있어요,10,매장이 청결해요,10,양이 많아요,8,화장실이 깨끗해요,5,https://m.place.naver.com/restaurant/1582378176/review/visitor
콩청대,음식이 맛있어요,205,친절해요,106,재료가 신선해요,79,혼밥하기 좋아요,55,매장이 청결해요,54,가성비가 좋아요,50,특별한 메뉴가 있어요,44,양이 많아요,41,매장이 넓어요,9,주차하기 편해요,3,https://m.place.naver.com/restaurant/1320618841/review/visitor
식껍 합정점,음식이 맛있어요,112,친절해요,78,매장이 청결해요,44,재료가 신선해요,40,가성비가 좋아요,31,특별한 메뉴가 있어요,26,단체모임 하기 좋아요,24,양이 많아요,17,고기 질이 좋아요,7,매장이 넓어요,7,https://m.place.naver.com/restaurant/1021506532/review/visitor
미삼,음식이 맛있어요,138,특별한 메뉴가 있어요,101,친절해요,67,재료가 신선해요,62,매장이 청결해요,36,가성비가 좋아요,34,직접 잘 구워줘요,21,양이 많아요,17,고기 질이 좋아요,12,단체모임 하기 좋아요,10,https://m.place.naver.com/restaurant/1241375855/review/visitor
지리산어탕국수 합정점,음식이 맛있어요,120,양이 많아요,41,특별한 메뉴가 있어요,39,가성비가 좋아요,30,친절해요,28,재료가 신선해요,21,혼밥하기 좋아요,18,단체모임 하기 좋아요,9,매장이 청결해요,8,매장이 넓어요,6,https://m.place.naver.com/restaurant/13531524/review/visitor
엄마손생선구이,음식이 맛있어요,204,가성비가 좋아요,75,혼밥하기 좋아요,48,친절해요,48,양이 많아요,44,재료가 신선해요,40,매장이 청결해요,13,특별한 메뉴가 있어요,11,매장이 넓어요,6,주차하기 편해요,4,https://m.place.naver.com/restaurant/34349216/review/visitor
합정식,음식이 맛있어요,309,혼밥하기 좋아요,202,가성비가 좋아요,142,양이 많아요,86,친절해요,80,매장이 청결해요,76,재료가 신선해요,66,주차하기 편해요,45,특별한 메뉴가 있어요,30,매장이 넓어요,23,https://m.place.naver.com/restaurant/73603981/review/visitor
구공탄곱창 합정2호점,음식이 맛있어요,150,친절해요,59,양이 많아요,33,가성비가 좋아요,32,특별한 메뉴가 있어요,21,재료가 신선해요,18,단체모임 하기 좋아요,10,인테리어가 멋져요,9,매장이 넓어요,9,매장이 청결해요,9,https://m.place.naver.com/restaurant/37468024/review/visitor
생선구이전문점,음식이 맛있어요,105,친절해요,42,가성비가 좋아요,40,재료가 신선해요,25,양이 많아요,25,혼밥하기 좋아요,16,특별한 메뉴가 있어요,7,매장이 청결해요,6,인테리어가 멋져요,1,주차하기 편해요,1,https://m.place.naver.com/restaurant/18793292/review/visitor
군산아구찜,음식이 맛있어요,195,양이 많아요,78,친절해요,70,가성비가 좋아요,56,재료가 신선해요,51,매장이 넓어요,43,단체모임 하기 좋아요,37,매장이 청결해요,18,특별한 메뉴가 있어요,17,혼밥하기 좋아요,10,https://m.place.naver.com/restaurant/38729006/review/visitor
닭날다,음식이 맛있어요,91,친절해요,46,인테리어가 멋져요,32,매장이 넓어요,26,특별한 메뉴가 있어요,24,단체모임 하기 좋아요,19,재료가 신선해요,17,매장이 청결해요,17,가성비가 좋아요,16,양이 많아요,8,https://m.place.naver.com/restaurant/36395673/review/visitor
미필담,음식이 맛있어요,41,혼밥하기 좋아요,35,특별한 메뉴가 있어요,33,친절해요,29,매장이 청결해요,28,재료가 신선해요,13,양이 많아요,4,인테리어가 멋져요,3,가성비가 좋아요,3,주차하기 편해요,1,https://m.place.naver.com/restaurant/1006791410/review/visitor
합정생고기김치찌개,음식이 맛있어요,104,가성비가 좋아요,49,친절해요,32,양이 많아요,32,재료가 신선해요,22,혼밥하기 좋아요,19,단체모임 하기 좋아요,14,매장이 청결해요,13,매장이 넓어요,10,특별한 메뉴가 있어요,9,https://m.place.naver.com/restaurant/35940382/review/visitor
지호한방삼계탕 합정점,음식이 맛있어요,221,친절해요,63,재료가 신선해요,49,매장이 넓어요,43,양이 많아요,35,특별한 메뉴가 있어요,26,매장이 청결해요,25,가성비가 좋아요,21,단체모임 하기 좋아요,18,혼밥하기 좋아요,13,https://m.place.naver.com/restaurant/12958800/review/visitor
